4.036,0.267,3.867,0.188,80,400,10,,,,,
4.347,0.508,4.024,0.326,80,400,10,,,,,
5.019,1.005,4.228,0.585,80,400,10,,,,,
3.87,0.395,3.855,0.291,80,400,10,,,,,
3.372,0.182,3.481,0.213,80,400,10,,,,,
5.205,0.562,4.535,0.337,80,400,10,,,,,
4.055,0.371,3.935,0.268,80,400,10,,,,,
4.953,0.448,4.704,0.249,80,400,10,,,,,
3.861,0.229,3.842,0.259,80,400,10,,,,,
3.828,0.309,3.76,0.318,80,400,10,,,,,
4.253,0.315,4.243,0.266,80,400,10,,,,,
3.824,0.353,3.935,0.288,80,400,10,,,,,
4.845,0.491,4.544,0.373,80,400,10,,,,,
4.508,0.288,4.231,0.283,80,400,10,,,,,
4.12,0.365,3.861,0.281,80,400,10,,,,,
4.081,0.407,4.361,0.317,80,400,10,,,,,
4.09,0.382,4.003,0.231,80,400,10,,,,,
4.542,0.62,4.186,0.398,80,400,10,,,,,
4.443,0.51,4.614,0.426,80,400,10,,,,,
4.223,0.285,3.992,0.248,80,400,10,,,,,
3.944,0.338,4.301,0.328,200,1000,10,,,,,
3.648,0.204,3.591,0.213,200,1000,10,,,,,
5.334,0.651,4.568,0.64,200,1000,10,,,,,
4.047,0.441,4.325,0.509,200,1000,10,,,,,
3.463,0.378,3.779,0.416,200,1000,10,,,,,
4.521,0.3,4.608,0.371,200,1000,10,,,,,
4.167,0.41,4.103,0.255,200,1000,10,,,,,
4.83,0.484,4.533,0.447,200,1000,10,,,,,
4.44,0.301,4.36,0.288,200,1000,10,,,,,
5.502,0.876,4.797,0.405,200,1000,10,,,,,
3.714,0.475,4.133,0.44,200,1000,10,,,,,
3.753,0.433,3.798,0.399,200,1000,10,,,,,
3.729,0.448,3.732,0.373,200,1000,10,,,,,
4.281,0.347,3.81,0.261,200,1000,10,,,,,
4.779,0.507,4.286,0.451,200,1000,10,,,,,
4.249,0.701,4.016,0.459,200,1000,10,,,,,
3.64,0.385,3.589,0.294,200,1000,10,,,,,
4.28,0.521,4.165,0.359,200,1000,10,,,,,
5.269,0.612,4.399,0.421,200,1000,10,,,,,
3.719,0.348,3.762,0.216,200,1000,10,,,,,
3.794,0.477,4.047,0.531,200,1000,10,,,,,
4.151,0.53,4.705,0.539,200,1000,10,,,,,
4.152,0.311,4.354,0.237,200,1000,10,,,,,
4.414,0.517,4.288,0.326,200,1000,10,,,,,
3.309,0.366,3.648,0.449,200,1000,10,,,,,
4.688,0.574,4.362,0.504,200,1000,10,,,,,
4.066,0.269,4.257,0.28,200,1000,10,,,,,
4.398,0.471,4.028,0.345,200,1000,10,,,,,
4.06,0.319,3.889,0.225,200,1000,10,,,,,
3.319,0.259,3.596,0.251,200,1000,10,,,,,
4.62,0.482,4.3,0.328,200,1000,10,,,,,
5.117,1.458,4.025,0.632,200,1000,10,,,,,
4.714,0.486,4.697,0.315,200,1000,10,,,,,
6.658,0.941,5.353,0.522,200,1000,10,,,,,
4.013,0.395,4.186,0.424,200,1000,10,,,,,
3.906,0.655,3.89,0.479,200,1000,10,,,,,
5.576,1.601,5.082,0.863,200,1000,10,,,,,
5.487,0.846,4.681,0.561,200,1000,10,,,,,
3.96,0.274,3.752,0.229,200,1000,10,,,,,
4.105,0.425,3.951,0.284,200,1000,10,,,,,
3.988,0.459,4.205,0.413,200,1000,10,,,,,
4.063,0.2,3.992,0.201,200,1000,10,,,,,
4.222,0.482,3.935,0.394,200,1000,10,,,,,
4.02,0.23,4.091,0.204,200,1000,10,,,,,
4.53,0.402,4.498,0.314,200,1000,10,,,,,
4.076,0.25,4.014,0.248,200,1000,10,,,,,
5.627,0.469,5.106,0.451,200,1000,10,,,,,
3.709,0.11,3.784,0.158,200,1000,10,,,,,
5.335,0.679,4.872,0.483,200,1000,10,,,,,
3.786,0.266,3.789,0.168,200,1000,10,,,,,
3.992,0.403,3.63,0.331,200,1000,10,,,,,
3.806,0.357,3.966,0.298,200,1000,10,,,,,
4.502,0.442,4.382,0.256,200,1000,10,,,,,
4.166,0.28,4.106,0.23,200,1000,10,,,,,
4.027,0.297,3.826,0.212,200,1000,10,,,,,
4.725,0.713,4.519,0.535,200,1000,10,,,,,
3.712,0.317,3.901,0.225,200,1000,10,,,,,
3.986,0.502,3.991,0.421,200,1000,10,,,,,
3.724,0.346,4.1,0.358,200,1000,10,,,,,
3.906,0.462,4.139,0.323,200,1000,10,,4.2953,0.083233992,4.176533333,0.050890271
