5.816,3.22,4.351,1.682,800,400,10
3.335,1.109,3.435,1.065,800,400,10
3.655,0.871,3.26,0.633,800,400,10
9.902,9.969,5.969,3.294,800,400,10
5.775,3.873,3.772,1.697,800,400,10
6.672,2.535,4.75,1.284,800,400,10
2.764,0.379,2.672,0.385,800,400,10
4.627,2.08,3.461,1.094,800,400,10
6.634,4.069,6.71,3.842,800,400,10
6.049,1.599,4.81,0.886,800,400,10
6.609,3.407,5.422,2.315,800,400,10
5.887,3.962,4.836,2.45,800,400,10
5.38,1.152,4.824,0.82,800,400,10
4.884,1.672,4.588,1.088,800,400,10
3.143,0.744,3.346,0.871,800,400,10
3.313,0.954,3.008,0.801,800,400,10
5.801,1.524,4.441,0.651,800,400,10
3.792,0.58,3.773,0.702,800,400,10
3.536,1.331,3.012,0.972,800,400,10
5.325,1.171,4.081,0.565,80,400,10
3.189,0.334,3.531,0.408,80,400,10
3.811,0.287,4.09,0.293,80,400,10
5.729,1.668,4.359,0.699,80,400,10
5.277,0.627,4.858,0.373,80,400,10
5.437,0.738,5.721,0.611,80,400,10
5.253,0.662,4.501,0.488,80,400,10
3.305,0.274,3.326,0.189,80,400,10
4.421,0.464,4.023,0.261,80,400,10
3.866,0.388,3.634,0.391,80,400,10
3.892,0.611,4.124,0.522,80,400,10
4.629,0.77,3.857,0.455,80,400,10
4.117,0.601,3.99,0.504,80,400,10
4.997,1.15,4.136,0.652,80,400,10
3.827,0.458,4.064,0.516,80,400,10
4.652,0.632,3.821,0.337,80,400,10
3.291,0.477,3.809,0.538,80,400,10
3.769,0.439,3.78,0.333,80,400,10
5.379,1.586,4.02,0.578,80,400,10
3.923,0.442,3.909,0.33,80,400,10
